ファイル名,カテゴリー,タイトル,解説,制作年,メモ（非公開）,,,,
sawabeyu.jpg,似顔絵マインドマップ,"「弁当事情」
（澤部佑）","コロナと長女の誕生が同年で、さまざまなパラダイムシフトが起きました。
私が、家事をし始めた頃です。愛妻家で知られるハライチの澤部さんを描きました。",2020,,,,,
abesinzo.jpg,似顔絵マインドマップ,"「難解用語」
（安倍晋三）",コロナが始まった頃、「パンデミック」や「フェーズ」といった今まで聞いたこのない用語が飛び交いました。それと超絶ダサいアベノマスクをメインに描いたと思われます。,2020,,,,,
ainsyutain.jpg,似顔絵マインドマップ,"「発見」
（アインシュタイン）",「発見」をテーマに描いたものです。子どもたちが好きな食事が、しゃぶしゃぶだったという発見。教育では、優しさは次男がすでに持っていたという発見。などなど、アインシュタインを中心に、マインドマップされました。,2020,,,,,
asasyoryu.jpg,似顔絵マインドマップ,"「我が家の寝室事情」
（朝青龍）","娘が生まれたばかりの2020年。妻が長女を寝かしつけると、隣にドラえもんの人形を添えます。
僕は当時、首痛がひどくて寝床に困っており、ハンモックで寝たり試行錯誤をしていました。そんな中、我が家にコオロギが侵入し、毎晩鈴の音に困らされるのでした。コオロギの大自然をドルジ（朝青龍の本名）で表現したようです。",2020,,,,,
hiro.jpg,似顔絵マインドマップ,"「コロナ文化」
（EXILE HIRO）","コロナで外食や外遊びがなくなり文化が変わりました。
私の親戚に、飲食店をしている方がいて、少しでも手助けになるようにと、TAKE OUTをしていました。
親戚がEXILEのヒロさんに似ていたため、メインに描いています。",2020,,,,,
kotouge.jpg,似顔絵マインドマップ,"「勤務形態」
（バイキング小峠）","働き方が変わりましたね。出社しなくても仕事ができることがわかっちゃった時。
PCさえ使えれば、どこでも働けます。
なぜ小峠を描いたか謎です。",2020,,,,,
kubotamasataka.jpg,似顔絵マインドマップ,"「有意義な過ごし方」
（窪田正孝）","俳優の窪田正孝さんの趣味が洗車ということを知り、僕たち家族の過ごし方をマインドマップしました。
描いた日は昭和の日（4/29）だったようです。",2020,,,,,
mikawayasabu.jpg,似顔絵マインドマップ,"「瓶ビール」
（三河屋のサブ）","大好きなビールを買いに行くのも、不要不急に携わります。
瓶ビールをケース買いすることを思いつき、実行しました。
メリットデメリットを表現し、ビールを届けてくれる三河屋があったらいいなと描きました。",2020,,,,,
nasubi.jpg,似顔絵マインドマップ,"「在宅ワーク」
（なすび）","在宅ワークで連想したのが、懸賞生活をしていた、なすびでした。
当時公務員だった私は、個人情報を持って帰れなくて、時代に乗っかれないモヤモヤがありました。",2020,,,,,
rokkakuseizi.jpg,似顔絵マインドマップ,"「ノルマ」
六角精児","在宅ばっかりですが、ノルマ（というかタスク）はあります。
日用品を買うもの、週に1度。計画的に買い物をしていました。
繊細な日常を、相棒に出演していた六角精児さんで表現しました。",2020,,,,,
sasakikuranosuke.jpg,似顔絵マインドマップ,"「書けない漢字」
（佐々木蔵之介）","「佐」と「在」の字で、部首がどっちがどっちかわからなくなります。
「在」の部首は、「土（つち）」と言うそうで、ここにいますと言う意味で存在の字を理解しました。
「佐」のつく有名人「佐々木蔵之介」を昭和風に描きました。",2020,,,,,
